run,ticks,mode,arrival_rate,ns_demand_share,nb_vehicules,nb_arretes,queue_ns,queue_ew,file_moyenne,vitesse_moyenne,attente_moyenne,vehicules_sortis,debit_100_ticks,congestion_pct,niveau_congestion,phase_j1,phase_j2,phase_j3,phase_j4
180295,340,INTELLIGENT,40,50,71,13,3,10,2.75,0.20211267605633804,27.704225352112676,41,33,18.309859154929576,FAIBLE,0,1,1,0
180295,345,INTELLIGENT,40,50,72,14,4,10,3,0.20138888888888884,28.26388888888889,42,33,19.444444444444443,FAIBLE,0,1,1,0
180295,350,INTELLIGENT,40,50,71,14,4,10,3,0.20070422535211266,26.661971830985916,45,36,19.718309859154928,FAIBLE,0,2,2,0
180295,355,INTELLIGENT,40,50,71,14,4,10,3,0.2007042253521127,27.338028169014084,46,35,19.718309859154928,FAIBLE,0,2,2,0
180295,360,INTELLIGENT,40,50,75,17,7,10,3.75,0.1933333333333333,26.933333333333334,46,32,22.666666666666668,FAIBLE,0,2,2,0
180295,365,INTELLIGENT,40,50,74,19,9,10,4.25,0.1858108108108108,28.5,47,31,25.675675675675677,FAIBLE,2,2,2,0
180295,370,INTELLIGENT,40,50,76,13,10,3,3,0.2072368421052631,28.776315789473685,47,28,17.105263157894736,FAIBLE,2,0,0,0
180295,375,INTELLIGENT,40,50,77,12,11,1,3,0.211038961038961,29.194805194805195,47,25,15.584415584415584,FAIBLE,2,0,0,2
180295,380,INTELLIGENT,40,50,76,14,14,0,3.5,0.20394736842105257,29.605263157894736,48,24,18.42105263157895,FAIBLE,2,0,0,2
180295,385,INTELLIGENT,40,50,75,10,10,0,2.25,0.2146666666666666,30.28,50,24,13.333333333333334,FAIBLE,1,0,0,2
180295,390,INTELLIGENT,40,50,74,13,11,2,3.25,0.20405405405405397,31.175675675675677,51,24,17.56756756756757,FAIBLE,1,0,0,2
180295,395,INTELLIGENT,40,50,74,12,9,3,3,0.2094594594594594,30.66216216216216,53,26,16.216216216216218,FAIBLE,1,0,0,1
180295,400,INTELLIGENT,40,50,76,10,7,3,2.5,0.2171052631578947,29.342105263157894,54,27,13.157894736842104,FAIBLE,1,0,0,1
180295,405,INTELLIGENT,40,50,76,10,7,3,2.5,0.2131578947368421,28.92105263157895,55,28,13.157894736842104,FAIBLE,1,0,0,1
180295,410,INTELLIGENT,40,50,75,12,8,4,3,0.20999999999999996,28.666666666666668,58,31,16,FAIBLE,1,0,2,1
